method,seed,ways,shots,query,best_val_acc,test_acc,test_ci95,best_epoch,support_pol,query_pol,experiment
protonet,0,5,1,5,69.78000033646822,57.08400008231401,0.8360149874864339,16,mixed,mixed,
random_topk,0,5,1,5,48.8399999961257,48.799999952316284,9.55208219912427,1,mixed,mixed,
loss_only,0,5,1,5,39.2000000923872,53.5999995470047,3.997632641258301,1,mixed,mixed,
loss_u,0,5,1,5,42.000000178813934,42.40000069141388,12.786653131609176,1,mixed,mixed,
loss_d,0,5,1,5,40.79999938607216,44.00000035762787,16.996715068332815,1,mixed,mixed,
loss_c,0,5,1,5,42.79999986290932,45.59999942779541,10.101132881284554,1,mixed,mixed,
loss_u_d,0,5,1,5,58.40000003576279,42.40000009536743,11.786103650366721,1,mixed,mixed,
loss_u_c,0,5,1,5,51.59999996423721,53.60000014305115,11.786105088018473,1,mixed,mixed,
full,0,5,1,5,48.00000011920929,31.200000196695328,12.494904063406262,1,mixed,mixed,
protonet,0,5,5,5,43.199999928474426,50.400000512599945,7.592172288272109,1,mixed,mixed,
random_topk,0,5,5,5,56.00000023841858,43.19999918341637,5.936351895262367,1,mixed,mixed,
loss_only,0,5,5,5,48.799999952316284,46.39999985694885,4.556501947784423,1,mixed,mixed,
loss_u,0,5,5,5,50.40000081062317,47.19999931752682,10.374637022689825,1,mixed,mixed,
loss_d,0,5,5,5,62.399998903274536,54.000000059604645,8.919854586754125,1,mixed,mixed,
loss_c,0,5,5,5,48.00000011920929,57.19999998807907,6.1897948821851045,1,mixed,mixed,
loss_u_d,0,5,5,5,64.80000019073486,45.99999934434891,6.839747572624582,1,mixed,mixed,
loss_u_c,0,5,5,5,49.59999918937683,51.600000858306885,7.791942049942054,1,mixed,mixed,
full,0,5,5,5,48.000001311302185,43.599999994039536,6.44916433573208,1,mixed,mixed,
protonet,1,5,1,5,70.90000003576279,69.02800026685,0.7636835885054739,20,mixed,mixed,
random_topk,1,5,1,5,66.2200002297759,65.85200021117926,0.7945483977530444,17,mixed,mixed,
loss_only,1,5,1,5,67.3000001758337,62.56000021025538,0.8169136123382917,27,mixed,mixed,
loss_u,1,5,1,5,68.74000028520823,67.78000023365021,0.7651735741605602,24,mixed,mixed,
loss_d,1,5,1,5,66.48000019788742,63.74000014215708,0.7870068349402511,23,mixed,mixed,
loss_c,1,5,1,5,67.58000016212463,66.48800024688244,0.7932496863535806,28,mixed,mixed,
loss_u_d,1,5,1,5,67.67999996989965,66.42400028407573,0.789660001844908,30,mixed,mixed,
loss_u_c,1,5,1,5,68.50000022351742,68.1160001963377,0.8033861733568722,30,mixed,mixed,
full,1,5,1,5,65.28000029176474,65.82800022512674,0.8054510059541135,28,mixed,mixed,
protonet,1,5,5,5,50.40000021457672,47.19999939203262,6.590575928217235,1,mixed,mixed,
random_topk,1,5,5,5,65.59999942779541,43.200000151991844,8.730254864912432,1,mixed,mixed,
loss_only,1,5,5,5,81.00000002980232,75.77200006693602,0.6762057820621975,26,mixed,mixed,main_ablation
protonet,2,5,1,5,71.72000031173229,70.44800028651953,0.799597665143066,24,mixed,mixed,
random_topk,2,5,1,5,70.14000016450882,73.4360001206398,0.7716649792493602,29,mixed,mixed,
loss_only,2,5,1,5,66.86000019311905,68.40400020480156,0.806086608317231,28,mixed,mixed,
loss_u,2,5,1,5,68.26000038534403,70.82000022381544,0.8174999111800897,23,mixed,mixed,
loss_d,2,5,1,5,68.20000004768372,69.54000016450883,0.8309663614457793,29,mixed,mixed,
loss_c,2,5,1,5,67.54000023752451,66.44800010472537,0.8126491958637864,20,mixed,mixed,
loss_u_d,2,5,1,5,65.52000016719103,60.45200014561415,0.8179610113100022,25,mixed,mixed,
loss_u_c,2,5,1,5,68.30000016093254,67.31200032830239,0.8416209869092287,30,mixed,mixed,
full,2,5,1,5,69.5600002259016,67.740000218153,0.8048635200942306,27,mixed,mixed,
protonet,2,5,5,5,82.25999988615513,79.2559999525547,0.6841503310721662,25,mixed,mixed,main_ablation
random_topk,2,5,5,5,80.85999996960163,80.36799992322922,0.6690611334572054,30,mixed,mixed,main_ablation
loss_only,2,5,5,5,80.93999986350536,81.38399985134602,0.6677147638050646,28,mixed,mixed,main_ablation
loss_u,2,5,5,5,79.6600002348423,78.31600006520748,0.6571016014885293,26,mixed,mixed,main_ablation
loss_d,2,5,5,5,80.22000007331371,76.98799999654292,0.6906212420372563,27,mixed,mixed,main_ablation
loss_c,2,5,5,5,79.37999987602234,81.33199996054172,0.6595480150040621,17,mixed,mixed,main_ablation
loss_u_d,2,5,5,5,81.99999976158142,80.74799987375737,0.6305475225021652,30,mixed,mixed,main_ablation
loss_u_c,2,5,5,5,80.96000003814697,77.46799997985363,0.6693725727472144,28,mixed,mixed,main_ablation
full,2,5,5,5,79.89999993145466,77.73199999928474,0.7485712759025448,26,mixed,mixed,main_ablation
