epoch,train_loss,val_acc,val_ci
1,1.3862465918064117,55.68000013381243,1.8627261530488115
2,1.3730500936508179,56.42000000923872,1.908620681078896
3,1.304777306318283,61.82000017911196,2.0297122879581684
4,1.3255739033222198,58.860000006854534,2.021004374786456
5,1.2661543905735015,59.48000015318394,1.825839630563131
6,1.2250800460577012,55.00000020861626,1.935419777412353
7,1.2301845252513885,62.84000012278557,2.026508354585081
8,1.1083496302366256,60.16000007838011,1.8820924350968522
9,1.2307583332061767,62.72000025957823,2.0235874787273667
10,1.1450095117092132,62.02000017464161,1.7905550867754858
11,1.1554526448249818,64.15999999642372,1.8689173932378942
12,1.1128789842128755,60.880000315606594,1.8633892935772916
13,1.1789560496807099,60.100000254809856,2.0768268084316026
14,1.239004021883011,60.300000324845314,1.9999260509029757
15,1.1550506591796874,60.480000115931034,1.9296739891766526
16,1.1511032789945603,60.84000014513731,1.8620876269065239
17,1.1422456979751587,61.959999959915876,2.097215204954353
18,1.0759747833013535,64.88000018894672,2.035306506475726
19,1.0844230979681015,60.56000009179115,1.8222243462934566
20,1.1221456974744797,65.74000008404255,1.8570943263298487
21,1.044049209356308,65.02000021934509,1.8524481997821407
22,1.072318008542061,64.78000014275312,1.9145183619755437
23,1.0140701115131379,63.30000025033951,1.8157696982777087
24,1.1035849511623383,66.86000007390976,1.950226824549145
25,1.0055016845464706,64.80000004917383,1.9332241294934203
26,1.1035735309123993,63.64000008255243,1.9822823555472873
27,0.9854616582393646,63.60000005364418,1.859107787949019
28,1.0863370329141617,65.04000024497509,2.013242828534429
29,0.9965310037136078,63.700000271201134,1.8212897093525968
30,1.0213690191507339,68.50000022351742,1.7486118016476067
